Abbrevation,Full Club Name,Ranking,Won Last Major,Won Last Event
VIT,Vitality,1,W,C
ENCE,ENCE,2,,
G2,G2 Esports,3,,
HERO,Heroic,4,,
AST,Astralis,5,,
FAZE,FaZe Clan,6,,
GL,GamerLegion,7,,
C9,Cloud 9,8,,
NAVI,Natus Vincere,9,,
MOUZ,MOUZ,10,,
VPRO,Virtus.pro,11,,
MONT,Monte,12,,
NIP,Ninjas in Pyjamas,13,,
FNC,Fnatic,14,,
IMP,Imperial,15,,
APEK,Apeks,16,,
LIQ,Liquid,17,,
FUR,Furia,18,,
9INE,9INE,19,,
SPIR,Spirit,20,,
BIG,Big Clan,21,,
9Z,9z,22,,
MIBR,MIBR,23,,
OG,OG,24,,
CPLX,Complexity,25,,
MONG,TheMongolz,26,,
MOST,Movistar Riders,27,,
1WIN,1Win,28,,
5CLO,5yclone,29,,
SAW,SAW,30,,
ROOS,Rooster,31,,
EST,Estatic,32,,